#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
GUY,Guyana,101706,Inequality in income (%),25.1,2019
GUY,Guyana,101806,Inequality in life expectancy (%),19,2019
GUY,Guyana,103006,Mean years of schooling (years),8.489781305,2019
GUY,Guyana,103206,Life expectancy index,0.767846154,2019
GUY,Guyana,103606,Income index,0.687172207,2019
GUY,Guyana,103706,Education index,0.600524099,2019
GUY,Guyana,110906,"Unemployment, youth (% ages 15–24)",21.275,2019
GUY,Guyana,120606,"Life expectancy at birth, female (years)",73.095,2019
GUY,Guyana,121106,"Life expectancy at birth, male (years)",66.927,2019
GUY,Guyana,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),42.733,2019
GUY,Guyana,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),10.269,2019
GUY,Guyana,123306,"Expected years of schooling, female (years)",11.59386,2019
GUY,Guyana,123406,"Expected years of schooling, male (years)",11.2684,2019
GUY,Guyana,132706,Population ages 65 and older (millions),0.052539,2019
GUY,Guyana,132806,Population under age 5 (millions),0.074579,2019
GUY,Guyana,133206,Exports and imports (% of GDP),79.081764,2019
GUY,Guyana,135006,Coefficient of human inequality,18.26666667,2019
GUY,Guyana,137506,Human Development Index (HDI),0.682,2019
GUY,Guyana,138806,Inequality-adjusted HDI (IHDI),0.556,2019
GUY,Guyana,140606,"Unemployment, total (% of labour force)",11.852,2019
GUY,Guyana,146206,HDI rank,122,2019
GUY,Guyana,147906,Youth not in school or employment (% ages 15-24),35.261,2019
GUY,Guyana,148206,Labour force participation rate (% ages 15 and older),56.183,2019
GUY,Guyana,148306,Employment to population ratio (% ages 15 and older),49.524,2019
GUY,Guyana,150606,Employment in agriculture (% of total employment),17.137,2019
GUY,Guyana,150706,Employment in services (% of total employment),60.041,2019
GUY,Guyana,153706,Working poor at PPP$3.20 a day (% of total employment),4.957,2019
GUY,Guyana,169706,Total unemployment rate (female to male ratio),1.565876289,2019
GUY,Guyana,169806,Youth unemployment rate (female to male ratio),1.643705184,2019
GUY,Guyana,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",41.42110492,2019
GUY,Guyana,178306,Gross capital formation (% of GDP),36.787419,2019
GUY,Guyana,181606,Red List Index (value),0.87981,2019
GUY,Guyana,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",7.594848842,2019
GUY,Guyana,194906,GDP per capita (2017 PPP $),9702.578857,2019
GUY,Guyana,195706,Gross national income (GNI) per capita (constant 2017 PPP$),9455.014358,2019
GUY,Guyana,23806,Population with at least some secondary education (% ages 25 and older),63.34,2018
GUY,Guyana,23906,"Population with at least some secondary education, female (% ages 25 and older)",70.92,2018
GUY,Guyana,24006,"Population with at least some secondary education, male (% ages 25 and older)",55.52,2018
GUY,Guyana,24106,"Mean years of schooling, female (years)",8.8962,2018
GUY,Guyana,24206,"Mean years of schooling, male (years)",7.9727,2018
GUY,Guyana,31706,Share of seats in parliament (% held by women),31.88405797,2018
GUY,Guyana,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",76.552,2018
GUY,Guyana,43006,Vulnerable employment (% of total employment),25.771,2018
GUY,Guyana,43606,"Internet users, total (% of population)",37.3258,2018
GUY,Guyana,44206,Total population (millions),0.779007,2018
GUY,Guyana,45106,Urban population (%),26.6,2018
GUY,Guyana,46006,Mobile phone subscriptions (per 100 people),82.9711,2018
GUY,Guyana,48706,"Labour force participation rate (% ages 15 and older), female",43.798,2018
GUY,Guyana,48806,"Labour force participation rate (% ages 15 and older), male",68.575,2018
GUY,Guyana,52606,"Remittances, inflows (% of GDP)",8.6032939,2018
GUY,Guyana,53506,"Foreign direct investment, net inflows (% of GDP)",30.433315,2018
GUY,Guyana,57206,"Mortality rate, infant (per 1,000 live births)",25.128225,2018
GUY,Guyana,57506,"Mortality rate, under-five (per 1,000 live births)",30.144712,2018
GUY,Guyana,57806,"Mortality rate, female adult (per 1,000 people)",182.082,2018
GUY,Guyana,57906,"Mortality rate, male adult (per 1,000 people)",268.873,2018
GUY,Guyana,58006,"HIV prevalence, adult (% ages 15-49)",1.4,2018
GUY,Guyana,61006,"Homicide rate (per 100,000 people)",14.24890919,2018
GUY,Guyana,63106,Population ages 15–64 (millions),0.508965,2018
GUY,Guyana,64306,"Infants lacking immunization, measles (% of one-year-olds)",2,2018
GUY,Guyana,64406,"Infants lacking immunization, DTP (% of one-year-olds)",1,2018
GUY,Guyana,65606,Gross fixed capital formation (% of GDP),42.82671539,2018
GUY,Guyana,68606,Gender Inequality Index (GII),0.463,2018
GUY,Guyana,69206,Life expectancy at birth (years),69.774,2018
GUY,Guyana,69706,Expected years of schooling (years),11.47262358,2018
GUY,Guyana,71406,Inequality-adjusted education index,0.537295547,2018
GUY,Guyana,71506,Inequality-adjusted life expectancy index,0.620237643,2018
GUY,Guyana,71606,Inequality-adjusted income index,0.510045058,2018
GUY,Guyana,73506,Overall loss in HDI due to inequality (%),18.52941176,2018
GUY,Guyana,97306,Natural resource depletion (% of GNI),12.38976549,2018
GUY,Guyana,99106,Net official development assistance received (% of GNI),2.71027,2018
GUY,Guyana,101606,Inequality in education (%),10.70029,2018
GUY,Guyana,101706,Inequality in income (%),25.1,2018
GUY,Guyana,101806,Inequality in life expectancy (%),19.003,2018
GUY,Guyana,103006,Mean years of schooling (years),8.489781305,2018
GUY,Guyana,103206,Life expectancy index,0.765753846,2018
GUY,Guyana,103606,Income index,0.680968035,2018
GUY,Guyana,103706,Education index,0.601676698,2018
GUY,Guyana,110906,"Unemployment, youth (% ages 15–24)",21.344,2018
GUY,Guyana,111106,International inbound tourists (thousands),287,2018
GUY,Guyana,111306,Private capital flows (% of GDP),-27.79494,2018
GUY,Guyana,120606,"Life expectancy at birth, female (years)",72.972,2018
GUY,Guyana,121106,"Life expectancy at birth, male (years)",66.783,2018
GUY,Guyana,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),43.185,2018
GUY,Guyana,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),9.872,2018
GUY,Guyana,123306,"Expected years of schooling, female (years)",11.8577,2018
GUY,Guyana,123406,"Expected years of schooling, male (years)",11.0876,2018
GUY,Guyana,123506,"Estimated gross national income per capita, female (2017 PPP $)",5122.932524,2018
GUY,Guyana,123606,"Estimated gross national income per capita, male (2017 PPP $)",12995.9274,2018
GUY,Guyana,128306,"Prison population (per 100,000 people)",275.2,2018
GUY,Guyana,132706,Population ages 65 and older (millions),0.050248,2018
GUY,Guyana,132806,Population under age 5 (millions),0.075655,2018
GUY,Guyana,133206,Exports and imports (% of GDP),82.594124,2018
GUY,Guyana,135006,Coefficient of human inequality,18.26776333,2018
GUY,Guyana,136906,"Human Development Index (HDI), female",0.661141425,2018
GUY,Guyana,137006,"Human Development Index (HDI), male",0.68387039,2018
GUY,Guyana,137506,Human Development Index (HDI),0.68,2018
GUY,Guyana,137906,Gender Development Index (GDI),0.966764222,2018
GUY,Guyana,138806,Inequality-adjusted HDI (IHDI),0.554,2018
GUY,Guyana,140606,"Unemployment, total (% of labour force)",11.906,2018
GUY,Guyana,146206,HDI rank,121,2018
GUY,Guyana,147906,Youth not in school or employment (% ages 15-24),35.119,2018
GUY,Guyana,148206,Labour force participation rate (% ages 15 and older),56.153,2018
GUY,Guyana,148306,Employment to population ratio (% ages 15 and older),49.468,2018
GUY,Guyana,149206,Government expenditure on education (% of GDP),5.88842,2018
GUY,Guyana,150606,Employment in agriculture (% of total employment),17.487,2018
GUY,Guyana,150706,Employment in services (% of total employment),59.728,2018
GUY,Guyana,153706,Working poor at PPP$3.20 a day (% of total employment),5.42,2018
GUY,Guyana,164406,Adjusted net savings (% of GNI),19.911058,2018
GUY,Guyana,169706,Total unemployment rate (female to male ratio),1.557704113,2018
GUY,Guyana,169806,Youth unemployment rate (female to male ratio),1.634946582,2018
GUY,Guyana,170006,Concentration index (exports) (value),0.462199076,2018
GUY,Guyana,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",41.3920457,2018
GUY,Guyana,178306,Gross capital formation (% of GDP),37.455326,2018
GUY,Guyana,179406,Skilled labour force (% of labour force),41.2971,2018
GUY,Guyana,181706,Rural population with access to electricity (%),90.010432,2018
GUY,Guyana,182106,"Malaria incidence (per 1,000 people at risk)",44.37059,2018
GUY,Guyana,182206,"Tuberculosis incidence (per 100,000 people)",83,2018
GUY,Guyana,184006,Proportion of informal employment in nonagricultural employment (% of total employment in nonagriculture),53.91,2018
GUY,Guyana,193006,"Proportion of informal employment in nonagricultural employment, female (% of total employment in nonagriculture)",47.53,2018
GUY,Guyana,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",7.254199489,2018
GUY,Guyana,194906,GDP per capita (2017 PPP $),9312.14665,2018
GUY,Guyana,195606,"Carbon dioxide emissions, production emissions per capita (tonnes)",3.120515118,2018
GUY,Guyana,195706,Gross national income (GNI) per capita (constant 2017 PPP$),9074.544157,2018
GUY,Guyana,196006,"Use of fertilizer nutrient nitrogen (N), per area of cropland (kg per hectare)",42.16,2018
GUY,Guyana,196106,"Use of fertilizer nutrient phosphorus (expressed as P2O5), per area of cropland (kg per hectare)",9.74,2018
GUY,Guyana,23806,Population with at least some secondary education (% ages 25 and older),63.34,2017
GUY,Guyana,23906,"Population with at least some secondary education, female (% ages 25 and older)",70.92,2017
GUY,Guyana,24006,"Population with at least some secondary education, male (% ages 25 and older)",55.52,2017
GUY,Guyana,24106,"Mean years of schooling, female (years)",8.8962,2017
GUY,Guyana,24206,"Mean years of schooling, male (years)",7.9727,2017
GUY,Guyana,31706,Share of seats in parliament (% held by women),31.88405797,2017
GUY,Guyana,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",78.722,2017
GUY,Guyana,43006,Vulnerable employment (% of total employment),26.033,2017
GUY,Guyana,43606,"Internet users, total (% of population)",37.3258,2017
GUY,Guyana,44206,Total population (millions),0.775218,2017
GUY,Guyana,45106,Urban population (%),26.5,2017
GUY,Guyana,46006,Mobile phone subscriptions (per 100 people),82.9711,2017
GUY,Guyana,48706,"Labour force participation rate (% ages 15 and older), female",43.723,2017
GUY,Guyana,48806,"Labour force participation rate (% ages 15 and older), male",68.811,2017
GUY,Guyana,52606,"Remittances, inflows (% of GDP)",9.0667217,2017
GUY,Guyana,53506,"Foreign direct investment, net inflows (% of GDP)",9.2074459,2017
GUY,Guyana,57206,"Mortality rate, infant (per 1,000 live births)",25.891387,2017
GUY,Guyana,57506,"Mortality rate, under-five (per 1,000 live births)",31.152174,2017
GUY,Guyana,57806,"Mortality rate, female adult (per 1,000 people)",167.339,2017
GUY,Guyana,57906,"Mortality rate, male adult (per 1,000 people)",245.418,2017
GUY,Guyana,58006,"HIV prevalence, adult (% ages 15-49)",1.5,2017
GUY,Guyana,61006,"Homicide rate (per 100,000 people)",14.83453687,2017
GUY,Guyana,63106,Population ages 15–64 (millions),0.505581,2017
GUY,Guyana,64306,"Infants lacking immunization, measles (% of one-year-olds)",1,2017
GUY,Guyana,64406,"Infants lacking immunization, DTP (% of one-year-olds)",3,2017
GUY,Guyana,65606,Gross fixed capital formation (% of GDP),30.87148403,2017
GUY,Guyana,68606,Gender Inequality Index (GII),0.466,2017
GUY,Guyana,69206,Life expectancy at birth (years),69.624,2017
GUY,Guyana,69706,Expected years of schooling (years),11.47262358,2017
GUY,Guyana,71406,Inequality-adjusted education index,0.536612175,2017
GUY,Guyana,71506,Inequality-adjusted life expectancy index,0.614574154,2017
GUY,Guyana,71606,Inequality-adjusted income index,0.506310732,2017
GUY,Guyana,73506,Overall loss in HDI due to inequality (%),18.61152142,2017
GUY,Guyana,89006,"Maternal mortality ratio (deaths per 100,000 live births)",169,2017
GUY,Guyana,97306,Natural resource depletion (% of GNI),11.88330134,2017
GUY,Guyana,99106,Net official development assistance received (% of GNI),1.4724271,2017
GUY,Guyana,101606,Inequality in education (%),10.7,2017
GUY,Guyana,101706,Inequality in income (%),25.1,2017
GUY,Guyana,101806,Inequality in life expectancy (%),19.5,2017
GUY,Guyana,103006,Mean years of schooling (years),8.46676505,2017
GUY,Guyana,103206,Life expectancy index,0.763446154,2017
GUY,Guyana,103606,Income index,0.675982286,2017
GUY,Guyana,103706,Education index,0.60090949,2017
GUY,Guyana,110906,"Unemployment, youth (% ages 15–24)",21.402,2017
GUY,Guyana,111106,International inbound tourists (thousands),247,2017
GUY,Guyana,111306,Private capital flows (% of GDP),-8.172611,2017
GUY,Guyana,120606,"Life expectancy at birth, female (years)",72.847,2017
GUY,Guyana,121106,"Life expectancy at birth, male (years)",66.605,2017
GUY,Guyana,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),43.815,2017
GUY,Guyana,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),9.518,2017
GUY,Guyana,123306,"Expected years of schooling, female (years)",11.8577,2017
GUY,Guyana,123406,"Expected years of schooling, male (years)",11.0876,2017
GUY,Guyana,123506,"Estimated gross national income per capita, female (2017 PPP $)",4936.923469,2017
GUY,Guyana,123606,"Estimated gross national income per capita, male (2017 PPP $)",12601.77437,2017
GUY,Guyana,128306,"Prison population (per 100,000 people)",287.2,2017
GUY,Guyana,132706,Population ages 65 and older (millions),0.048119,2017
GUY,Guyana,132806,Population under age 5 (millions),0.076535,2017
GUY,Guyana,133206,Exports and imports (% of GDP),86.670108,2017
GUY,Guyana,135006,Coefficient of human inequality,18.43333333,2017
GUY,Guyana,136906,"Human Development Index (HDI), female",0.658519728,2017
GUY,Guyana,137006,"Human Development Index (HDI), male",0.681602306,2017
GUY,Guyana,137506,Human Development Index (HDI),0.677,2017
GUY,Guyana,137906,Gender Development Index (GDI),0.966134829,2017
GUY,Guyana,138806,Inequality-adjusted HDI (IHDI),0.551,2017
GUY,Guyana,140606,"Unemployment, total (% of labour force)",12.044,2017
GUY,Guyana,147906,Youth not in school or employment (% ages 15-24),35.199,2017
GUY,Guyana,148206,Labour force participation rate (% ages 15 and older),56.226,2017
GUY,Guyana,148306,Employment to population ratio (% ages 15 and older),49.454,2017
GUY,Guyana,149206,Government expenditure on education (% of GDP),6.23007,2017
GUY,Guyana,150606,Employment in agriculture (% of total employment),17.813,2017
GUY,Guyana,150706,Employment in services (% of total employment),59.373,2017
GUY,Guyana,153706,Working poor at PPP$3.20 a day (% of total employment),5.939,2017
GUY,Guyana,164406,Adjusted net savings (% of GNI),4.7518909,2017
GUY,Guyana,169706,Total unemployment rate (female to male ratio),1.549450549,2017
GUY,Guyana,169806,Youth unemployment rate (female to male ratio),1.618666202,2017
GUY,Guyana,170006,Concentration index (exports) (value),0.433036452,2017
GUY,Guyana,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",41.30211643,2017
GUY,Guyana,178306,Gross capital formation (% of GDP),20.722931,2017
GUY,Guyana,179706,Ratio of education and health expenditure to military expenditure,6.654137,2017
GUY,Guyana,181706,Rural population with access to electricity (%),88.836584,2017
GUY,Guyana,181806,Current health expenditure (% of GDP),4.94551,2017
GUY,Guyana,182106,"Malaria incidence (per 1,000 people at risk)",32.55213,2017
GUY,Guyana,182206,"Tuberculosis incidence (per 100,000 people)",84,2017
GUY,Guyana,183906,"Labour share of GDP, comprising wages and social protection transfers (%)",55,2017
GUY,Guyana,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",6.96849124,2017
GUY,Guyana,194906,GDP per capita (2017 PPP $),8989.038274,2017
GUY,Guyana,195606,"Carbon dioxide emissions, production emissions per capita (tonnes)",3.027906845,2017
GUY,Guyana,195706,Gross national income (GNI) per capita (constant 2017 PPP$),8779.918496,2017
GUY,Guyana,195906,"Domestic material consumption per capita, (tonnes)",24.45832,2017
GUY,Guyana,196006,"Use of fertilizer nutrient nitrogen (N), per area of cropland (kg per hectare)",0.98,2017
GUY,Guyana,196106,"Use of fertilizer nutrient phosphorus (expressed as P2O5), per area of cropland (kg per hectare)",3.67,2017
GUY,Guyana,23806,Population with at least some secondary education (% ages 25 and older),62.5,2016
GUY,Guyana,23906,"Population with at least some secondary education, female (% ages 25 and older)",70.1,2016
GUY,Guyana,24006,"Population with at least some secondary education, male (% ages 25 and older)",54.6,2016
GUY,Guyana,24106,"Mean years of schooling, female (years)",8.872,2016
GUY,Guyana,24206,"Mean years of schooling, male (years)",7.9511,2016
GUY,Guyana,31706,Share of seats in parliament (% held by women),30.43478261,2016
GUY,Guyana,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",80.892,2016
GUY,Guyana,43006,Vulnerable employment (% of total employment),26.305,2016
GUY,Guyana,43606,"Internet users, total (% of population)",35.66,2016
GUY,Guyana,44206,Total population (millions),0.771363,2016
GUY,Guyana,45106,Urban population (%),26.5,2016
GUY,Guyana,46006,Mobile phone subscriptions (per 100 people),75.7951,2016
GUY,Guyana,48706,"Labour force participation rate (% ages 15 and older), female",43.066,2016
GUY,Guyana,48806,"Labour force participation rate (% ages 15 and older), male",69.429,2016
GUY,Guyana,52606,"Remittances, inflows (% of GDP)",7.6818531,2016
GUY,Guyana,53506,"Foreign direct investment, net inflows (% of GDP)",4.641921,2016
GUY,Guyana,57206,"Mortality rate, infant (per 1,000 live births)",26.62313,2016
GUY,Guyana,57506,"Mortality rate, under-five (per 1,000 live births)",32.118161,2016
GUY,Guyana,57806,"Mortality rate, female adult (per 1,000 people)",169.011,2016
GUY,Guyana,57906,"Mortality rate, male adult (per 1,000 people)",246.739,2016
GUY,Guyana,58006,"HIV prevalence, adult (% ages 15-49)",1.5,2016
GUY,Guyana,61006,"Homicide rate (per 100,000 people)",18.40897217,2016
GUY,Guyana,63106,Population ages 15–64 (millions),0.501896,2016
GUY,Guyana,64306,"Infants lacking immunization, measles (% of one-year-olds)",1,2016
GUY,Guyana,64406,"Infants lacking immunization, DTP (% of one-year-olds)",3,2016
GUY,Guyana,65606,Gross fixed capital formation (% of GDP),29.62805823,2016
GUY,Guyana,68606,Gender Inequality Index (GII),0.472,2016
GUY,Guyana,69206,Life expectancy at birth (years),69.454,2016
GUY,Guyana,69706,Expected years of schooling (years),11.47262358,2016
GUY,Guyana,71406,Inequality-adjusted education index,0.535928915,2016
GUY,Guyana,71506,Inequality-adjusted life expectancy index,0.612137047,2016
GUY,Guyana,71606,Inequality-adjusted income index,0.505691263,2016
GUY,Guyana,73506,Overall loss in HDI due to inequality (%),18.78698225,2016
GUY,Guyana,89006,"Maternal mortality ratio (deaths per 100,000 live births)",170,2016
GUY,Guyana,97306,Natural resource depletion (% of GNI),13.13628169,2016
GUY,Guyana,99106,Net official development assistance received (% of GNI),2.0213893,2016
GUY,Guyana,100806,Forest area (% of total land area),83.9014478,2016
GUY,Guyana,101606,Inequality in education (%),10.7,2016
GUY,Guyana,101706,Inequality in income (%),25.1,2016
GUY,Guyana,101806,Inequality in life expectancy (%),19.5436,2016
GUY,Guyana,103006,Mean years of schooling (years),8.443811194,2016
GUY,Guyana,103206,Life expectancy index,0.760830769,2016
GUY,Guyana,103606,Income index,0.675155224,2016
GUY,Guyana,103706,Education index,0.600144361,2016
GUY,Guyana,110906,"Unemployment, youth (% ages 15–24)",21.528,2016
GUY,Guyana,111106,International inbound tourists (thousands),235,2016
GUY,Guyana,111306,Private capital flows (% of GDP),-2.441229,2016
GUY,Guyana,112506,"Suicide rate, male (per 100,000 people, age-standardized)",46.6,2016
GUY,Guyana,112606,"Suicide rate, female (per 100,000 people, age-standardized)",14.2,2016
GUY,Guyana,120606,"Life expectancy at birth, female (years)",72.717,2016
GUY,Guyana,121106,"Life expectancy at birth, male (years)",66.394,2016
GUY,Guyana,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),44.511,2016
GUY,Guyana,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),9.18,2016
GUY,Guyana,123306,"Expected years of schooling, female (years)",11.8577,2016
GUY,Guyana,123406,"Expected years of schooling, male (years)",11.0876,2016
GUY,Guyana,123506,"Estimated gross national income per capita, female (2017 PPP $)",4825.316441,2016
GUY,Guyana,123606,"Estimated gross national income per capita, male (2017 PPP $)",12626.89709,2016
GUY,Guyana,128306,"Prison population (per 100,000 people)",284.3,2016
GUY,Guyana,132706,Population ages 65 and older (millions),0.046073,2016
